Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
000978	桂林旅游	19.26			
000979	中弘股份	8.48			
000980	众泰汽车	26.30			
000981	银亿股份	4.93			
000982	*ST 中绒	9.42			
000983	西山煤电	4.77			
000985	大庆华科	141.56			
000986	粤华包Ｂ				
000987	越秀金控	4.82			
000988	华工科技	38.20			
000989	九 芝 堂	169.71			
000990	诚志股份	28.59			
000992	中  鲁Ｂ				
000993	闽东电力	10.08			
000995	皇台酒业	38.12			
000996	中国中期	284.52			
000997	新 大 陆	35.54			
000998	隆平高科	86.25			
000999	华润三九	44.19			
001696	宗申动力	27.50			
001896	豫能控股	3.80			
001979	招商蛇口	9.04			
002001	新 和 成	43.99			
002002	鸿达兴业	12.59			
002003	伟星股份	78.66			
002004	华邦健康	9.02			
002005	德豪润达	5.72			
002006	精功科技	37.89			
002007	华兰生物	1047.49			
002008	大族激光	48.30			
002009	天奇股份	12.19			
002010	传化智联	67.49			
002011	盾安环境	9.84			
002012	凯恩股份	79.61			
002013	中航机电	11.41			
002014	永新股份	57.45			
002015	霞客环保	989.95			
002016	世荣兆业	11.15			
002017	东信和平	40.92			
002018	华信国际	17.57			
002019	亿帆医药	30.85			
002020	京新药业	57.90			
002021	中捷资源	49.10			
002022	科华生物	145.76			
002023	海特高新	31.06			
002024	苏宁云商	11.77			
002025	航天电器	69.22			
002026	山东威达	51.57			
002027	分众传媒	13.89			
002028	思源电气	45.15			
002029	七 匹 狼	21.77			
002030	达安基因	63.53			
002031	巨轮智能	30.96			
002032	苏 泊 尔	54.65			
002033	丽江旅游	58.63			
002034	美 欣 达	137.13			
002035	华帝股份	33.51			
002036	联创电子	32.74			
002037	久联发展	6.30			
002038	双鹭药业	825.18			
002039	黔源电力	2.21			
002040	南 京 港	25.38			
002041	登海种业	99.89			
002042	华孚色纺	9.30			
002043	兔 宝 宝	216.87			
002044	美年健康	108.55			
